config,vector_size,k,silhouette_cosine,davies_bouldin,calinski_harabasz,avg_intra_similarity,min_cluster_size,max_cluster_size,size_ratio,singleton_clusters
d2v_vs50,50,3,0.9368,0.7279,59.89,0.9561,1,197,197.0,1
d2v_vs50,50,5,0.8614,0.1608,46.78,0.9677,1,196,196.0,4
d2v_vs50,50,8,0.7884,0.1986,37.46,0.9732,1,193,193.0,7
d2v_vs50,50,10,0.6831,0.6349,32.07,0.9742,1,189,189.0,8
d2v_vs50,50,20,0.0068,1.194,21.91,0.9805,1,80,80.0,16
d2v_vs50,50,50,0.0109,0.9219,14.7,0.9884,1,69,69.0,41
d2v_vs50,50,100,-0.0584,0.7209,12.16,0.9948,1,33,33.0,90
d2v_vs100,100,3,0.959,0.4737,125.28,0.9736,1,197,197.0,1
d2v_vs100,100,5,0.8784,0.1305,95.63,0.9826,1,196,196.0,4
d2v_vs100,100,8,0.629,0.2197,67.32,0.9851,1,193,193.0,7
d2v_vs100,100,10,0.5644,1.0396,55.62,0.9852,1,183,183.0,7
d2v_vs100,100,20,0.022,1.3198,35.55,0.9889,1,94,94.0,17
d2v_vs100,100,50,-0.0836,0.8412,22.47,0.9935,1,101,101.0,45
d2v_vs100,100,100,-0.032,0.6348,18.27,0.9972,1,70,70.0,96
d2v_vs200,200,3,0.9667,0.5257,178.94,0.9801,1,197,197.0,1
d2v_vs200,200,5,0.8798,0.1194,175.75,0.9908,1,196,196.0,4
d2v_vs200,200,8,0.6581,0.2254,113.53,0.9918,1,193,193.0,7
d2v_vs200,200,10,0.3047,1.2072,95.99,0.9923,1,178,178.0,8
d2v_vs200,200,20,0.3388,0.8807,57.64,0.9938,1,176,176.0,17
d2v_vs200,200,50,0.1592,0.4306,35.93,0.9967,1,151,151.0,49
d2v_vs200,200,100,-0.0481,0.7296,27.95,0.9985,1,38,38.0,96
