name,k_word_bins,weighting,doc_clusters_k,silhouette_cosine,davies_bouldin,calinski_harabasz,avg_intra_similarity,min_cluster_size,max_cluster_size,size_ratio,singleton_clusters
w2v_k3_tfidf,3,tfidf,10,0.5485,0.7175,127.9877,0.9699,1,38,38.0,1
w2v_k3_freq,3,freq,10,0.5338,0.7268,126.8493,0.9706,1,40,40.0,1
w2v_k5_freq,5,freq,9,0.34,1.1887,44.3559,0.8801,8,34,4.25,0
w2v_k5_tfidf,5,tfidf,7,0.3361,1.2806,47.0096,0.8533,23,33,1.4348,0
w2v_k8_freq,8,freq,7,0.2959,1.5476,28.6246,0.7467,20,47,2.35,0
w2v_k8_tfidf,8,tfidf,7,0.2937,1.4913,28.3351,0.7271,16,40,2.5,0
w2v_k10_freq,10,freq,7,0.2465,1.6447,23.6517,0.698,19,43,2.2632,0
w2v_k10_tfidf,10,tfidf,9,0.2436,1.6344,20.7334,0.6969,18,26,1.4444,0
w2v_k20_freq,20,freq,2,0.1973,2.7345,25.8091,0.4342,96,104,1.0833,0
w2v_k20_tfidf,20,tfidf,9,0.1605,2.1943,10.3981,0.4881,14,33,2.3571,0
w2v_k50_freq,50,freq,4,0.1088,3.3969,9.6472,0.2828,38,65,1.7105,0
w2v_k50_tfidf,50,tfidf,10,0.0942,3.0554,5.4785,0.2958,14,31,2.2143,0
w2v_k100_freq,100,freq,2,0.0926,3.981,12.1473,0.1908,89,111,1.2472,0
w2v_k200_freq,200,freq,4,0.0827,3.7964,7.785,0.1838,28,68,2.4286,0
w2v_k100_tfidf,100,tfidf,9,0.0514,3.8512,3.5356,0.1826,8,39,4.875,0
w2v_k200_tfidf,200,tfidf,8,0.0334,4.6786,2.7624,0.1161,10,48,4.8,0
